type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,30429,98:4a:6b:31:4a:10,-57,11,-99,-52,57,11,306332539,83,0,256,0,"[0,0,0,0,0,0,0,0,9,2,9,3,8,6,6,8,4,9,3,11,0,11,-1,12,-4,11,-6,10,-8,9,-9,7,-11,5,-12,3,-12,1,-13,0,-12,-3,-12,-5,-11,-7,-10,-9,-8,-11,-6,-12,-4,-14,-1,-14,0,-15,3,-14,5,-14,9,-13,0,0,12,-9,13,-6,14,-3,14,-1,13,0,12,3,11,5,10,6,9,8,7,9,6,10,4,10,2,11,0,11,-1,11,-3,11,-4,9,-6,8,-8,6,-9,5,-10,3,-10,1,-9,0,-9,-2,-8,-4,-6,-5,-5,-6,-3,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,5,8,1,8,-3,5,-7,1,-10,-4,-8,-9,-5,-10,0,-9,5,-3,10,1,11,8,8,11,1,11,-4,7,-10,0,-12,-7,-9,-12,-4,-12,3,-9,9,-1,12,5,12,12,7,14,0,11,-9,4,-14,-3,-13,0,0,-14,-1,-12,6,-6,12,1,12,8,9,11,2,11,-4,6,-9,0,-11,-5,-7,-9,-2,-9,2,-5,7,0,9,4,7,7,2,8,-1,5,-5,0,-7,-3,-6,-5,-3,-7,0,-5,4,-1,6,1,5,4,3,5,0,5,-1,0,0,0,0,0,0]"
CSI_DATA,30430,98:4a:6b:31:4a:10,-57,11,-99,-48,57,11,306340758,83,0,256,0,"[0,0,0,0,0,0,0,0,8,-4,9,-3,9,-1,10,0,10,2,10,4,9,6,8,7,7,9,6,10,4,10,2,12,1,12,0,13,-2,13,-4,12,-6,12,-8,10,-9,9,-10,8,-12,7,-13,5,-14,3,-15,1,-15,0,-15,-2,-15,-5,-13,-6,0,0,-10,-10,-9,-12,-7,-12,-5,-12,-4,-13,-1,-13,0,-12,1,-12,2,-11,4,-10,5,-9,6,-9,7,-8,8,-6,9,-5,9,-4,10,-2,9,-1,9,0,9,1,9,3,8,5,7,6,6,7,4,8,2,8,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,0,6,-5,2,-8,-2,-9,-7,-6,-9,-1,-9,5,-5,9,1,10,7,8,10,2,10,-4,6,-9,-1,-11,-8,-9,-12,-2,-11,5,-6,11,1,13,8,9,13,2,12,-5,6,-12,-1,-13,-9,-10,-13,-2,-13,6,0,0,1,15,9,10,13,2,12,-5,5,-10,-1,-11,-8,-8,-10,-1,-9,5,-4,9,2,9,7,5,9,0,6,-5,2,-8,-2,-8,-6,-4,-8,0,-5,5,-1,7,2,6,5,3,6,0,5,-4,1,-5,-2,-5,-4,-2,-5,0,0,0,0,0,0,0]"
CSI_DATA,30431,98:4a:6b:31:4a:10,-57,11,-99,-49,57,11,306351799,83,0,256,0,"[0,0,0,0,0,0,0,0,5,8,3,8,1,10,0,10,-2,10,-4,10,-6,9,-8,8,-9,7,-11,5,-11,2,-12,1,-12,-1,-12,-2,-11,-5,-10,-7,-9,-8,-8,-10,-6,-11,-4,-13,-2,-13,0,-14,1,-14,4,-13,6,-14,8,-12,10,-11,12,-9,0,0,14,-4,14,-1,14,0,13,2,11,3,11,5,10,7,8,8,7,9,5,10,4,10,2,10,1,10,0,10,-2,10,-4,10,-5,8,-6,7,-7,6,-8,4,-9,3,-9,1,-8,0,-8,-2,-7,-4,-7,-5,-5,-5,-3,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,7,1,8,5,5,8,2,8,-2,6,-7,1,-10,-3,-9,-8,-5,-10,0,-8,5,-4,10,2,10,8,7,11,1,10,-5,5,-10,-1,-11,-7,-9,-12,-2,-11,4,-7,11,0,13,8,11,13,4,14,-4,8,-11,1,-14,0,0,-12,-5,-13,2,-9,10,-1,12,5,10,10,5,10,-1,7,-7,1,-10,-4,-8,-8,-4,-8,1,-6,6,-1,8,3,7,7,3,7,-1,5,-5,1,-7,-2,-5,-5,-2,-6,0,-5,4,-1,5,2,5,4,3,5,0,4,-2,0,0,0,0,0,0]"
CSI_DATA,30432,98:4a:6b:31:4a:10,-57,11,-99,-51,57,11,306359908,83,0,256,0,"[0,0,0,0,0,0,0,0,-8,-2,-8,-3,-8,-5,-6,-8,-5,-9,-3,-10,0,-11,1,-11,3,-11,6,-10,8,-8,9,-7,10,-5,11,-4,12,-1,12,0,12,2,12,5,11,7,10,8,8,10,6,12,4,13,2,13,0,15,-2,14,-5,14,-7,13,0,0,-11,9,-12,6,-13,4,-13,1,-13,0,-12,-1,-11,-3,-10,-5,-9,-7,-8,-8,-6,-9,-4,-9,-2,-10,0,-10,0,-10,2,-10,3,-8,5,-8,7,-6,8,-5,9,-3,9,-1,9,0,8,1,8,3,6,5,5,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-7,-6,-5,-8,0,-8,3,-5,7,0,9,5,8,8,4,10,-1,8,-6,3,-10,-2,-10,-8,-7,-11,-1,-10,5,-6,10,0,11,7,9,11,3,11,-3,8,-10,1,-13,-6,-11,-12,-6,-13,2,-10,10,-3,13,4,13,0,0,14,1,11,-7,5,-11,-2,-11,-8,-8,-11,-1,-10,4,-5,10,1,10,6,8,8,1,8,-3,5,-7,0,-8,-5,-6,-7,-1,-7,2,-4,6,0,6,3,6,6,3,6,-1,5,-5,1,-6,-2,-5,-5,-3,-5,0,-5,2,0,0,0,0,0,0]"
CSI_DATA,30433,98:4a:6b:31:4a:10,-57,11,-99,-51,57,11,306368171,83,0,256,0,"[0,0,0,0,0,0,0,0,-9,-2,-8,-4,-8,-5,-6,-7,-6,-8,-5,-10,-3,-11,0,-11,1,-11,3,-11,5,-11,6,-10,8,-10,9,-8,10,-7,11,-5,12,-4,13,-1,13,0,13,1,13,3,13,5,13,6,11,8,10,11,9,11,7,13,5,15,0,0,0,15,0,15,-3,14,-5,13,-6,11,-7,10,-8,9,-9,8,-10,6,-10,5,-10,3,-10,2,-11,1,-11,0,-10,-2,-10,-3,-10,-5,-8,-6,-6,-7,-5,-8,-4,-9,-3,-9,-1,-9,0,-9,1,-8,3,-8,4,-7,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-7,-6,-5,-8,0,-7,4,-4,8,1,9,6,7,10,2,10,-3,6,-8,0,-10,-5,-9,-10,-3,-11,3,-6,9,0,11,6,10,11,3,11,-3,7,-10,0,-12,-7,-10,-12,-3,-13,3,-8,11,0,14,8,11,13,4,0,0,8,-11,0,-13,-7,-10,-12,-3,-11,4,-6,9,0,11,6,8,10,1,9,-4,4,-8,-1,-9,-6,-6,-8,-1,-6,4,-3,7,1,7,6,4,7,0,6,-4,2,-6,-1,-6,-5,-3,-6,0,-5,3,-1,5,1,5,3,3,0,0,0,0,0,0]"
CSI_DATA,30434,98:4a:6b:31:4a:10,-57,11,-99,-48,57,11,306377175,83,0,256,0,"[0,0,0,0,0,0,0,0,0,9,-2,9,-4,9,-6,8,-8,6,-9,5,-10,4,-11,1,-11,0,-11,-2,-11,-4,-10,-6,-9,-8,-8,-9,-6,-10,-4,-12,-2,-12,-1,-13,1,-13,2,-13,5,-12,6,-12,9,-10,10,-9,12,-8,13,-6,15,-3,15,-1,0,0,15,3,13,5,12,7,10,8,8,9,6,10,5,11,3,11,1,12,0,11,-1,10,-2,10,-4,10,-5,9,-6,8,-8,7,-8,4,-8,4,-9,1,-8,0,-9,0,-9,-4,-8,-5,-6,-5,-5,-6,-4,-6,-2,-8,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,4,-4,7,0,8,5,6,8,3,9,-2,7,-7,2,-10,-4,-10,-8,-6,-10,0,-9,6,-4,10,2,11,9,8,12,1,10,-6,5,-11,-2,-12,-9,-9,-13,-2,-12,6,-6,12,1,13,9,10,14,2,13,-5,8,-12,0,0,-8,-11,-13,-4,-13,4,-7,10,0,12,6,9,10,4,10,-2,6,-8,0,-10,-5,-8,-9,-2,-8,3,-4,7,0,8,5,6,7,2,6,-2,4,-5,0,-6,-4,-5,-6,-1,-6,1,-4,5,0,6,3,5,5,3,5,-1,0,0,0,0,0,0]"
CSI_DATA,30435,98:4a:6b:31:4a:10,-57,11,-99,-51,57,11,306385329,83,0,256,0,"[0,0,0,0,0,0,0,0,7,5,6,6,5,8,3,10,0,10,-1,11,-3,10,-5,10,-7,9,-8,8,-10,5,-11,3,-12,1,-12,0,-11,-2,-11,-4,-10,-6,-10,-8,-8,-10,-6,-11,-4,-12,-2,-13,0,-13,2,-14,4,-14,6,-13,9,-11,11,-10,0,0,14,-5,13,-3,14,0,13,1,12,3,11,5,10,6,8,8,7,9,5,10,3,10,2,10,0,10,-1,10,-3,10,-5,9,-6,8,-7,6,-8,5,-9,3,-10,1,-9,0,-9,-1,-8,-3,-7,-5,-5,-6,-3,-6,-2,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,6,3,8,0,7,-5,4,-8,-1,-10,-6,-7,-10,-3,-10,3,-6,8,-1,11,5,10,10,5,11,-1,9,-7,3,-11,-3,-11,-10,-7,-12,0,-10,6,-5,11,2,13,10,10,13,2,13,-6,7,-11,0,-13,0,0,-13,-4,-13,3,-8,10,-1,12,6,10,10,5,11,-2,7,-7,1,-10,-3,-8,-8,-3,-8,1,-6,6,-1,8,3,7,6,3,8,0,5,-5,1,-6,-2,-6,-5,-4,-6,0,-5,3,-2,5,1,6,3,4,5,1,5,-1,0,0,0,0,0,0]"
CSI_DATA,30436,98:4a:6b:31:4a:10,-57,11,-99,-47,57,11,306393551,83,0,256,0,"[0,0,0,0,0,0,0,0,0,9,-2,9,-3,9,-5,7,-8,7,-9,4,-11,2,-11,0,-11,-2,-11,-3,-10,-7,-8,-8,-6,-10,-4,-11,-2,-12,0,-12,2,-12,4,-12,6,-11,8,-10,10,-7,12,-6,14,-3,14,-1,15,1,14,3,14,6,12,8,0,0,7,11,5,13,2,13,0,13,-2,12,-3,12,-6,10,-7,8,-8,7,-10,5,-10,4,-11,1,-11,0,-10,-1,-10,-3,-8,-4,-7,-6,-6,-7,-5,-8,-2,-9,0,-9,1,-10,3,-8,5,-7,6,-6,7,-3,7,-2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,4,-2,7,0,7,3,7,8,2,8,0,7,-6,3,-8,-2,-10,-6,-7,-10,-2,-11,3,-7,8,-1,11,5,10,10,5,11,0,10,-7,3,-12,-2,-12,-9,-8,-13,-1,-12,5,-6,11,1,14,8,11,14,3,14,-3,0,0,3,-13,-6,-12,-11,-6,-12,0,-9,7,-4,10,3,10,7,7,10,1,9,-3,4,-8,-1,-8,-5,-6,-8,-1,-7,3,-5,6,0,7,3,6,7,3,6,-1,5,-5,1,-6,-2,-6,-5,-3,-6,0,-5,2,-1,5,1,5,0,0,0,0,0,0]"
CSI_DATA,30437,98:4a:6b:31:4a:10,-57,11,-99,-51,57,11,306402417,83,0,256,0,"[0,0,0,0,0,0,0,0,8,3,7,5,6,7,5,8,3,10,2,11,0,10,-2,11,-4,11,-6,10,-7,9,-8,7,-10,6,-11,5,-13,3,-12,1,-12,-1,-13,-3,-13,-4,-11,-6,-10,-6,-9,-10,-8,-11,-6,-13,-4,-14,-3,-15,0,-15,2,-15,0,0,6,-13,8,-11,9,-10,11,-8,11,-6,11,-4,11,-2,11,-1,11,0,11,2,11,3,10,5,8,6,7,6,6,8,5,9,3,10,1,10,0,10,-1,10,-3,9,-5,8,-5,6,-7,6,-8,4,-8,2,-8,1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,6,8,2,8,-2,6,-6,1,-9,-3,-9,-8,-5,-10,0,-8,6,-3,10,3,10,9,7,11,0,10,-6,5,-10,-1,-11,-8,-8,-13,-1,-10,6,-5,11,1,13,8,8,13,2,12,-5,7,-12,-1,-14,-9,-10,0,0,-12,5,-8,11,0,13,7,10,12,3,10,-4,6,-9,0,-10,-6,-7,-9,-2,-8,4,-4,8,0,8,6,6,8,1,7,-3,3,-6,-1,-6,-5,-5,-6,-1,-6,3,-3,6,0,6,3,5,5,1,5,-2,3,-4,0,-5,0,0,0,0,0,0]"
CSI_DATA,30438,98:4a:6b:31:4a:10,-58,11,-99,-49,57,11,306411240,83,0,256,0,"[0,0,0,0,0,0,0,0,-3,8,-4,8,-5,7,-8,4,-10,2,-11,0,-11,-1,-11,-2,-10,-6,-8,-7,-7,-9,-6,-9,-5,-11,-3,-11,-1,-13,1,-12,4,-12,6,-11,8,-10,10,-8,11,-7,13,-5,13,-3,14,0,14,0,15,2,14,4,12,7,0,0,7,11,6,12,4,13,1,13,0,13,-2,12,-3,11,-5,10,-7,8,-7,8,-8,7,-9,7,-9,4,-10,1,-10,0,-10,-2,-10,-4,-8,-5,-6,-7,-5,-7,-4,-8,-2,-9,-1,-9,0,-8,1,-8,4,-7,5,-5,6,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,1,-5,5,-2,8,2,9,5,5,10,2,8,-2,6,-8,1,-10,-4,-9,-9,-5,-10,1,-8,7,-2,11,4,10,10,7,12,1,10,-5,5,-11,-2,-11,-9,-8,-11,-2,-11,5,-8,11,1,13,9,10,14,2,14,-5,0,0,1,-15,-5,-11,-12,-6,-11,1,-8,8,-2,10,4,10,9,5,10,0,7,-6,1,-8,-4,-7,-7,-4,-8,1,-5,5,-2,8,2,6,6,4,7,0,5,-4,2,-6,-1,-6,-4,-3,-5,0,-5,2,-3,5,0,4,3,4,0,0,0,0,0,0]"
CSI_DATA,30439,98:4a:6b:31:4a:10,-57,11,-99,-50,57,11,306419286,83,0,256,0,"[0,0,0,0,0,0,0,0,6,7,4,8,3,9,1,9,0,11,-4,10,-6,9,-6,8,-9,7,-11,4,-11,2,-12,0,-11,-2,-11,-4,-11,-7,-9,-9,-7,-10,-6,-12,-3,-12,-1,-14,0,-14,3,-14,6,-12,7,-11,11,-11,12,-8,15,-6,14,-3,0,0,14,2,13,5,12,6,11,9,9,9,5,11,3,12,2,11,1,12,-1,10,-4,11,-5,10,-6,9,-8,6,-9,6,-9,3,-11,1,-10,0,-9,-1,-7,-3,-7,-6,-4,-7,-4,-8,-2,-7,-1,-8,1,-8,2,-7,4,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,8,3,7,6,5,7,1,9,-3,6,-7,0,-9,-3,-9,-7,-4,-10,0,-8,6,-4,11,1,11,7,8,11,2,11,-3,7,-9,0,-12,-5,-11,-11,-5,-13,1,-9,7,-3,13,3,12,11,7,14,0,12,-7,6,-12,0,0,-9,-10,-13,-4,-12,4,-6,11,0,10,6,9,9,3,10,-3,7,-6,2,-9,-4,-7,-7,-4,-7,1,-6,5,-1,7,3,7,6,4,7,0,6,-3,3,-6,0,-6,-3,-4,-7,-1,-5,2,-3,4,0,5,2,5,4,3,0,0,0,0,0,0]"
CSI_DATA,30440,98:4a:6b:31:4a:10,-58,11,-99,-47,57,11,306427559,83,0,256,0,"[0,0,0,0,0,0,0,0,6,-6,8,-5,8,-3,10,-2,10,0,11,2,10,4,9,5,8,7,7,8,6,10,4,11,2,11,1,12,-1,12,-3,12,-5,12,-6,11,-8,10,-9,9,-11,7,-12,6,-13,3,-14,2,-15,0,-15,-1,-15,-4,-14,-6,0,0,-10,-10,-8,-11,-7,-12,-4,-12,-3,-12,-1,-12,0,-12,2,-11,3,-10,5,-10,6,-9,7,-8,8,-7,9,-5,9,-3,10,-2,10,-1,10,0,9,2,8,3,8,5,7,6,6,7,4,7,3,7,1,8,-1,8,-2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,-2,5,-6,1,-9,-4,-8,-8,-4,-10,1,-8,6,-2,10,2,10,8,7,11,0,10,-6,4,-10,-2,-11,-8,-8,-12,-1,-10,6,-5,11,2,12,10,8,12,1,12,-6,5,-12,-2,-14,-10,-9,-14,-2,-13,6,0,0,1,14,8,10,13,2,11,-5,5,-10,-1,-11,-7,-8,-10,-1,-9,4,-5,8,2,10,6,6,8,0,7,-4,3,-7,-2,-8,-6,-5,-7,0,-6,3,-2,7,1,7,5,4,6,0,5,-3,2,-5,0,-6,-4,-3,-5,-1,0,0,0,0,0,0]"
CSI_DATA,30441,98:4a:6b:31:4a:10,-57,11,-99,-51,57,11,306436038,83,0,256,0,"[0,0,0,0,0,0,0,0,-9,-2,-8,-4,-8,-6,-6,-8,-5,-9,-3,-10,-1,-11,1,-11,3,-11,5,-10,6,-10,8,-8,10,-6,11,-5,12,-3,13,-1,13,1,13,3,13,5,11,7,10,8,8,10,6,12,5,13,3,15,1,15,-1,15,-4,15,0,0,-9,12,-10,10,-11,8,-12,6,-12,4,-12,2,-11,0,-11,-1,-11,-3,-10,-5,-9,-6,-8,-7,-6,-8,-5,-9,-3,-10,-1,-10,0,-10,1,-10,3,-9,5,-8,6,-8,7,-6,8,-4,8,-2,8,0,8,1,8,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-7,-6,-5,-8,-1,-8,3,-5,7,0,10,5,8,8,4,10,-1,7,-6,2,-10,-3,-10,-8,-6,-11,0,-10,6,-4,10,1,11,8,8,12,1,11,-5,6,-11,-1,-13,-8,-10,-12,-3,-12,4,-8,11,0,14,8,11,0,0,13,-2,9,-10,1,-13,-5,-10,-10,-5,-11,1,-8,7,-1,10,4,9,8,5,9,-1,6,-6,1,-8,-3,-7,-7,-3,-8,1,-6,5,-1,7,3,6,6,3,6,0,5,-3,1,-6,-1,-6,-4,-3,-5,0,-5,2,-2,4,0,0,0,0,0,0]"
CSI_DATA,30442,98:4a:6b:31:4a:10,-57,11,-99,-47,57,11,306445078,83,0,256,0,"[0,0,0,0,0,0,0,0,0,9,-2,9,-3,7,-5,7,-8,7,-10,6,-10,3,-11,0,-11,-1,-11,-3,-9,-6,-8,-7,-8,-9,-5,-11,-3,-12,-1,-12,0,-12,3,-12,5,-12,7,-11,10,-10,12,-8,12,-6,14,-3,14,-1,15,1,14,3,13,6,0,0,9,10,7,12,6,12,3,11,0,14,-1,13,-3,11,-5,10,-7,8,-8,7,-8,6,-10,5,-10,3,-11,1,-9,-1,-10,-2,-10,-4,-7,-6,-6,-7,-5,-8,-3,-8,0,-8,1,-8,2,-8,4,-7,5,-6,7,-5,7,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,4,-3,7,1,7,5,6,7,3,9,-1,7,-5,2,-10,-3,-10,-7,-7,-10,-1,-8,4,-6,10,0,11,6,9,10,5,11,-2,8,-7,2,-12,-5,-11,-10,-6,-12,0,-10,8,-4,12,2,13,10,9,12,1,13,-6,0,0,0,-15,-7,-11,-11,-5,-11,2,-7,10,-1,11,5,9,8,4,10,-2,7,-7,2,-8,-3,-8,-7,-4,-8,1,-6,5,-2,8,1,7,6,4,7,0,6,-3,3,-6,0,-6,-3,-4,-6,-2,-6,1,-3,5,0,5,2,5,0,0,0,0,0,0]"
CSI_DATA,30443,98:4a:6b:31:4a:10,-58,11,-99,-49,57,11,306453747,83,0,256,0,"[0,0,0,0,0,0,0,0,-5,6,-7,5,-8,4,-9,2,-10,1,-10,-1,-10,-2,-10,-4,-8,-6,-8,-7,-7,-8,-5,-10,-4,-11,-2,-11,0,-12,1,-11,3,-11,5,-11,7,-10,8,-10,10,-8,11,-7,12,-5,13,-3,14,-2,14,0,14,1,13,3,0,0,11,8,10,10,8,10,6,11,5,11,2,11,1,11,0,11,-1,10,-2,10,-4,10,-5,9,-6,8,-7,7,-8,5,-8,4,-9,2,-9,1,-9,0,-9,-1,-8,-2,-8,-4,-7,-5,-5,-6,-4,-7,-2,-7,-1,-8,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-1,-7,2,-4,7,0,8,4,7,8,4,9,-1,7,-7,2,-10,-3,-9,-8,-5,-11,0,-8,6,-3,10,3,11,9,7,11,0,10,-7,4,-11,-3,-12,-10,-7,-13,0,-10,7,-4,12,3,13,11,8,14,0,12,-8,0,0,-2,-14,-10,-8,-13,0,-10,6,-4,11,2,11,8,7,10,0,8,-5,3,-9,-2,-8,-7,-4,-8,0,-6,5,-1,8,2,7,7,3,7,0,5,-4,1,-7,-2,-6,-5,-2,-6,0,-4,4,-1,5,1,5,4,2,5,0,0,0,0,0,0,0]"
CSI_DATA,30444,98:4a:6b:31:4a:10,-57,11,-99,-45,56,11,306462571,83,0,256,0,"[0,0,0,0,0,0,0,0,6,-7,8,-5,8,-3,10,-1,10,0,11,2,10,4,9,7,8,8,6,9,4,11,2,11,1,12,-1,13,-2,12,-5,11,-7,11,-8,9,-11,8,-11,6,-13,4,-13,2,-14,0,-14,-1,-13,-4,-14,-5,-13,-8,-10,-10,0,0,-6,-13,-4,-14,-1,-14,0,-13,2,-13,4,-12,5,-11,7,-10,8,-7,9,-6,10,-4,10,-4,10,-2,10,0,10,1,10,2,9,4,8,5,6,7,5,8,3,8,1,10,0,10,-1,8,-2,8,-4,7,-5,5,-7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,-2,4,-6,1,-8,-4,-7,-7,-4,-9,0,-8,5,-3,9,1,10,7,7,10,1,10,-4,5,-9,0,-11,-6,-8,-10,-3,-11,3,-7,10,0,12,6,10,11,5,12,-2,8,-9,1,-13,-5,-11,-11,-6,-13,1,0,0,-3,13,4,12,10,7,12,0,9,-6,3,-10,-2,-10,-7,-6,-10,0,-8,5,-2,8,2,8,7,4,8,0,6,-4,2,-7,-1,-7,-5,-4,-7,0,-5,3,-2,6,1,6,4,4,5,1,5,-2,2,-4,0,-5,-2,-4,0,0,0,0,0,0]"
CSI_DATA,30445,98:4a:6b:31:4a:10,-57,11,-99,-53,57,11,306471473,83,0,256,0,"[0,0,0,0,0,0,0,0,-9,2,-10,0,-10,-1,-9,-3,-10,-4,-9,-6,-7,-8,-6,-8,-4,-10,-3,-10,-1,-12,-1,-12,1,-12,2,-12,3,-12,5,-11,6,-10,10,-8,10,-8,11,-8,14,-6,14,-6,13,-3,14,0,14,1,15,2,15,4,14,7,0,0,12,10,9,10,9,11,6,12,4,12,2,13,2,13,0,12,0,12,-2,10,-3,10,-4,10,-5,9,-6,8,-8,6,-8,6,-8,4,-9,4,-10,1,-9,0,-9,-1,-10,-3,-9,-3,-8,-5,-7,-6,-5,-7,-4,-7,-2,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-6,-7,-2,-8,3,-4,7,0,8,6,8,8,2,10,-3,6,-7,1,-10,-6,-9,-9,-4,-10,2,-6,8,0,11,7,9,12,4,12,-4,8,-9,0,-11,-9,-9,-12,-2,-12,5,-6,11,2,14,9,12,14,4,12,-6,0,0,-2,-13,-9,-8,-14,-2,-11,6,-5,10,2,10,8,6,10,0,8,-6,2,-8,-4,-9,-8,-4,-9,1,-6,6,-1,8,4,6,6,3,7,-3,4,-6,0,-7,-4,-6,-6,-1,-6,1,-2,4,0,6,4,4,5,1,5,-2,0,0,0,0,0,0]"
CSI_DATA,30446,98:4a:6b:31:4a:10,-57,11,-99,-51,57,11,306479933,83,0,256,0,"[0,0,0,0,0,0,0,0,1,9,0,10,-1,10,-3,10,-5,9,-6,8,-8,7,-10,6,-11,4,-11,2,-12,0,-12,-1,-12,-3,-11,-5,-10,-6,-10,-8,-8,-10,-8,-11,-6,-12,-4,-13,-2,-13,0,-14,1,-14,4,-14,6,-14,8,-13,10,-11,11,-10,0,0,14,-6,14,-3,14,-1,14,0,13,1,12,3,11,5,10,6,10,7,8,8,7,9,5,10,4,10,2,10,1,10,0,10,-1,10,-3,10,-5,8,-6,8,-8,6,-8,5,-8,3,-8,1,-9,0,-8,-1,-8,-2,-7,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5,-1,8,3,7,7,5,9,0,8,-5,4,-9,-1,-10,-7,-7,-10,-1,-9,4,-5,9,0,11,7,8,11,3,11,-4,6,-10,0,-11,-8,-9,-12,-3,-11,5,-6,11,0,13,8,10,13,3,13,-5,7,-11,0,-14,0,0,-13,-3,-13,4,-7,11,0,12,7,9,11,2,10,-3,5,-9,0,-10,-6,-7,-9,-1,-8,4,-3,8,1,8,6,5,8,0,6,-4,3,-6,-1,-6,-5,-4,-6,0,-6,3,-2,6,1,6,4,3,5,0,5,-2,2,-4,0,0,0,0,0,0]"
CSI_DATA,30447,98:4a:6b:31:4a:10,-57,11,-99,-49,57,11,306488043,83,0,256,0,"[0,0,0,0,0,0,0,0,1,9,0,9,-2,9,-4,9,-6,8,-8,7,-9,5,-11,3,-11,1,-11,0,-11,-2,-11,-4,-10,-5,-10,-7,-8,-10,-6,-11,-4,-12,-2,-13,-1,-13,1,-13,3,-13,5,-13,7,-11,10,-11,11,-9,13,-7,14,-5,14,-3,0,0,15,1,14,4,13,6,11,7,10,8,7,10,5,10,4,11,2,11,1,11,0,11,-2,10,-3,10,-5,9,-6,8,-7,7,-8,5,-9,4,-10,2,-10,0,-10,0,-8,-2,-8,-4,-7,-5,-5,-7,-4,-7,-2,-8,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5,-2,7,2,8,6,5,8,1,9,-3,5,-8,0,-10,-5,-8,-9,-4,-10,1,-7,7,-2,11,4,10,10,5,11,0,9,-7,3,-11,-4,-11,-10,-7,-13,0,-10,7,-4,12,3,13,10,8,14,1,12,-7,6,-13,0,0,-9,-10,-13,-2,-12,5,-5,10,1,12,7,8,10,2,10,-4,5,-8,0,-10,-5,-7,-8,-1,-7,3,-4,7,0,8,5,6,7,1,7,-2,4,-5,0,-7,-4,-5,-6,-1,-5,2,-4,5,0,5,2,4,5,2,5,-1,0,0,0,0,0,0]"
CSI_DATA,30448,98:4a:6b:31:4a:10,-57,11,-99,-49,57,11,306497684,83,0,256,0,"[0,0,0,0,0,0,0,0,8,-4,9,-2,9,0,10,1,10,4,9,5,8,7,5,10,4,11,2,11,0,11,-1,11,-4,12,-6,10,-8,10,-9,7,-11,5,-12,2,-14,0,-13,-1,-13,-2,-13,-5,-11,-8,-10,-10,-8,-11,-6,-13,-4,-14,-1,-15,0,0,4,-14,5,-13,7,-11,8,-8,11,-8,11,-5,11,-3,11,-1,11,1,10,2,10,3,10,5,8,7,7,7,4,10,3,10,1,10,0,10,-2,10,-3,9,-5,7,-6,6,-7,4,-9,3,-8,1,-8,0,-7,-1,-7,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,6,-4,3,-8,-1,-8,-5,-7,-9,-4,-9,2,-7,7,-2,10,4,9,8,5,10,1,10,-6,5,-10,-1,-11,-7,-9,-10,-3,-11,4,-7,9,-1,12,6,10,12,4,14,-2,10,-9,2,-13,-5,-12,-12,-7,0,0,-11,8,-5,13,2,13,8,9,12,0,10,-4,5,-9,-1,-10,-8,-7,-10,-1,-8,3,-4,7,0,8,4,7,7,2,7,-2,5,-5,0,-7,-4,-5,-6,-2,-6,1,-4,4,0,5,1,6,5,3,5,0,4,-2,1,-4,0,0,0,0,0,0]"
